"user","art","auxv","conj","adv","ipron","ppron","prep","quant"
"""alyosha""",3.75,5,6.75,3.75,3,5.5,5.75,2.5
"$$$Marlon$$$30",1,2,1,3,0,0,1,3
"$1LENCE D00600D",11.2857142857143,12.8571428571429,7.28571428571429,5.42857142857143,7.71428571428571,7,14.8571428571429,5.28571428571429
"&amp;Delta",1,0,0,0,0,1,1,0
"(CK)Lakeshade",2.5,4.5,1.25,1.25,2.25,1.5,2,2
"(RT)",3.375,3.25,2.875,2.25,2.25,4.25,7.25,1.375
"(aeropagitica)",4.27373417721519,4.96044303797468,3.4493670886076,1.86075949367089,2.96360759493671,4.07911392405063,8.03639240506329,1.62974683544304
"(de):Athanasian",4.5,5.5,4.5,5.5,4,9,12.5,2
"*Kat*",4.75,4,3.25,1.75,3.25,3.5,5.25,0.25
"*Spark*",0,0,0,1,4,1,2,0
"-5-",2.63636363636364,2.45454545454545,1.36363636363636,1,2,2.36363636363636,2.90909090909091,1.27272727272727
"-Inanna-",0,1,0,0,0,2,1,0
"-JP-",4,2,0,1,0,0,2,1
"-Lemmy-",1.77777777777778,2.66666666666667,2.77777777777778,1.77777777777778,0.444444444444444,4.55555555555556,4.22222222222222,1.55555555555556
"-Lumière",9.66666666666667,14,5.33333333333333,6,7,5.66666666666667,11.6666666666667,4.66666666666667
"-Majestic-",4,5,2,1,3,6,2,1
"-Ril-",2.5,3,1.5,1.5,1,2.5,3,0.5
"-The Doctor-",4,3,7,5,6,8,8,2
"-Zeus-",2,2.5,2.75,2.25,2.75,3,3.75,0.25
"-jkb-",2.66666666666667,2,0,1.33333333333333,1.33333333333333,2.66666666666667,3.33333333333333,0.333333333333333
"...And Beyond!",1,2,3,2,0,4,4,4
".IT",3,3,1,2,1,3,5,3
".V.",3,1,2,1,0,2,5,2
"0-0-0-Destruct-0",7.71428571428571,5.42857142857143,5.42857142857143,2.14285714285714,3,7.14285714285714,10,1.57142857142857
"01001",1,2,0,0,0,2,2,0
"03md",4.57142857142857,4.85714285714286,3.42857142857143,1.71428571428571,2.85714285714286,6,10.1428571428571,1.57142857142857
"03thowoo",6.66666666666667,9.33333333333333,6.66666666666667,4.33333333333333,5.66666666666667,8.66666666666667,9.33333333333333,7.33333333333333
"07bargem",0.8,2,1.4,0.2,1,2.4,3,1
"07holsombd",3,5,3,0,2,9,6,3
"0L1",9,11,8,4,7,9,13,4
"0OoDUOOO0o()",1,7,5,2,5,6,3,0
